CO2_loading,MEA_mol,Temp,log_x_H2O,log_x_CO2,log_x_MEA,log_x_OH-,log_x_HCO3-,log_x_CO32-,log_x_MEACOO-,log_x_H3O+,log_x_MEAH+,x_H2O,x_CO2,x_MEA,x_OH-,x_HCO3-,x_CO32-,x_MEACOO-,x_H3O+,x_MEAH+,gamma_H2O,gamma_CO2,gamma_MEA,gamma_OH-,gamma_HCO3-,gamma_CO32-,gamma_MEACOO-,gamma_H3O+,gamma_MEAH+,G_ex,Henry_mix_CO2,fugacity_pure_solvent_H2O,fugacity_pure_solvent_MEA,log_gamma_mix_CO2,liq_enthalpy
0.001,0.001,388.15,-0.001677609,-15.65751221,-8.035548049,-7.300343845,-14.12517491,-20.74197431,-16.05206122,-20.00341015,-7.299100105,0.998323797,1.58E-07,0.000323747,0.000675307,7.34E-07,9.81E-10,1.07E-07,2.05E-09,0.000676147,5.22E-05,0.040898705,-0.380799319,-0.175999042,-0.220492237,-0.875644966,-0.23458519,-0.225229589,-0.170308728,-0.01100312,3805.651692,1.659609634,0.13853855,0.048086981,-278838.9362
0.001,0.001,393.15,-0.001676019,-15.45824521,-8.030474446,-7.302715072,-14.1568791,-20.9701137,-16.1696801,-19.84162877,-7.301521027,0.998325385,1.93E-07,0.000325394,0.000673707,7.11E-07,7.81E-10,9.50E-08,2.41E-09,0.000674512,5.32E-05,0.040098246,-0.352167031,-0.179705971,-0.223842948,-0.888319539,-0.237419576,-0.228070869,-0.172351546,-0.010853514,4245.016306,1.94446878,0.171623482,0.048014442,-278421.3837
0.001,0.001,398.15,-0.001673813,-15.27088146,-8.023535639,-7.306007156,-14.19802181,-21.20570373,-16.29336058,-19.68631756,-7.30486932,0.998327587,2.33E-07,0.000327659,0.000671493,6.82E-07,6.17E-10,8.39E-08,2.82E-09,0.000672257,5.41E-05,0.039233472,-0.324947238,-0.18345326,-0.227256013,-0.901067395,-0.2402491,-0.230910034,-0.174408028,-0.010701113,4730.84867,2.267391036,0.211113241,0.047889193,-278000.6077
0.001,0.001,403.15,-0.001671018,-15.09612181,-8.014858412,-7.310185942,-14.24936485,-21.44955715,-16.4240374,-19.53719354,-7.309110775,0.998330377,2.78E-07,0.000330515,0.000668693,6.48E-07,4.84E-10,7.36E-08,3.27E-09,0.000669412,5.50E-05,0.038303133,-0.299072713,-0.187237424,-0.230733334,-0.913885381,-0.243073564,-0.23374676,-0.176477432,-0.010546219,5267.689407,2.631861581,0.257941715,0.047709824,-277576.4722
0.001,0.001,408.15,-0.001667663,-14.93457216,-8.004568456,-7.31522294,-14.31157654,-21.70239677,-16.56254923,-19.39398571,-7.314216414,0.998333727,3.27E-07,0.000333934,0.000665333,6.09E-07,3.76E-10,6.41E-08,3.78E-09,0.000666003,5.58E-05,0.037305839,-0.274480002,-0.191054578,-0.234276509,-0.926768362,-0.245892326,-0.23658029,-0.178558768,-0.010389084,5860.408101,3.041497351,0.313128277,0.047474749,-277148.8365
0.001,0.027263158,293.15,-0.03040257,-24.42732674,-3.707895566,-5.921711906,-14.94652228,-15.28889669,-10.53039684,-26.69229727,-5.911507878,0.97005494,2.46E-11,0.024529089,0.002680607,3.23E-07,2.29E-07,2.67E-05,2.56E-12,0.0027081,-0.002577951,0.335333446,-1.22229608,0.41835954,-0.755923983,-1.215268301,-0.591938729,-0.425760658,0.093368177,-0.09030905,433.4619923,0.023394995,0.00034299,0.185729678,-285904.5398
0.001,0.027263158,297.3605263,-0.030534985,-24.08243771,-3.713143777,-5.87491525,-14.86245107,-15.341552,-10.53101697,-26.39471358,-5.86517962,0.969926498,3.48E-11,0.024400692,0.002809032,3.51E-07,2.17E-07,2.67E-05,3.44E-12,0.002836514,-0.002641831,0.330169324,-1.157959784,0.409798323,-0.731417607,-1.250244573,-0.599234256,-0.432664739,0.103119626,-0.090020922,480.5008115,0.030239075,0.000498365,0.195339829,-285577.6869
0.001,0.027263158,301.5710526,-0.030660748,-23.74053926,-3.718152941,-5.832416615,-14.77621205,-15.39827551,-10.53175296,-26.10743385,-5.82308824,0.969804525,4.89E-11,0.024278771,0.002930985,3.83E-07,2.05E-07,2.67E-05,4.59E-12,0.002958455,-0.002705526,0.32464234,-1.096389068,0.401965942,-0.711307431,-1.282974671,-0.606265932,-0.439324127,0.112838875,-0.089669945,531.6912532,0.038765978,0.000714541,0.20409966,-285250.6212
0.001,0.027263158,305.7815789,-0.030779449,-23.40151915,-3.722902979,-5.793902385,-14.6886393,-15.45866468,-10.53261558,-25.82993755,-5.7849288,0.969689416,6.87E-11,0.024163719,0.003046072,4.18E-07,1.93E-07,2.67E-05,6.06E-12,0.003073529,-0.002768338,0.318716202,-1.037467874,0.394668447,-0.694718767,-1.313829665,-0.613048771,-0.445754829,0.122518076,-0.089251782,587.3840677,0.049308997,0.001011562,0.212093595,-284923.2114
0.001,0.027263158,309.9921053,-0.03089076,-23.06527544,-3.727376936,-5.759091211,-14.60035861,-15.52236853,-10.53361558,-25.56174272,-5.750427066,0.969581484,9.61E-11,0.024055853,0.003153977,4.56E-07,1.81E-07,2.66E-05,7.92E-12,0.003181422,-0.002829616,0.312355518,-0.981086956,0.387745979,-0.680985382,-1.343121378,-0.619596895,-0.451971714,0.132151414,-0.088763457,647.9446862,0.062250436,0.00141482,0.219387121,-284595.3339
