CsPbI,FAPbI,MAPbI
-9.531062096335141e-06,3.38390702381286e-05,-0.30466856050770735
-1.098507394392545e-05,2.727959460263607e-05,-0.30466856384494656
-1.0986928828143894e-05,3.383914008728284e-05,-0.2031852795975282
-9.530767177579058e-06,2.7281038152637826e-05,-0.2031852738543724
-1.39013708878033e-05,-5.53295559561906e-05,0.30921623557029904
9.857335438401282e-06,-5.5316827880930175e-05,0.30921624638916295
-1.3895200875746472e-05,3.2813001113435325e-05,0.3092162421128402
-1.3889566374214457e-05,-5.532301341501511e-05,-0.3095593293275064
9.848200716089384e-06,3.2806675881097425e-05,-0.3095593337668106
0.0,3.138827159995805e-05,-0.1801458022091538
-1.3413839042242248e-05,3.09842173009528e-05,-0.1801462000235915
0.0,-1.9890337716793605e-05,-0.18014581339666627
8.104058601965392e-07,3.098197436588075e-05,0.021545927824142077
-1.3422896154254016e-05,-2.028909511862277e-05,0.02154592669103288
1.2016637871647973e-05,-5.532557455212306e-05,-0.26033987545718745
-1.2031616643037868e-05,-5.532256327575591e-05,-0.260339880688116
1.2018252164069931e-05,1.7842953093261116e-05,-0.26033988089766347
1.2016342952725356e-05,-5.532579962175266e-05,0.39006439952645466
-1.20384929079842e-05,1.7841757896042143e-05,0.3900644010320925
-1.282513452086076e-05,2.7275380368091406e-05,0.18528387771608928
1.2022024020508226e-05,2.7281395159603483e-05,0.18528387967962773
-1.2825468244825888e-05,3.383353662995969e-05,0.1852838764044767
-1.2825646748218511e-05,2.7273610855138575e-05,-0.10103016042460998
1.201945512241398e-05,3.383973768604498e-05,-0.10103016000551489
-7.4435723946136845e-06,-2.0284554921076725e-05,-0.07186181703582409
-4.3005915359162206e-06,-2.0292564295164295e-05,-0.07186182276345798
-7.445566977098972e-06,3.097924248626066e-05,-0.0718618188441421
-7.448500643325584e-06,-2.028959958499943e-05,-0.2750162070539469
-4.2916818833727e-06,3.098253315944599e-05,-0.2750162020636102
1.2023149368600716e-05,3.281767324858631e-05,0.4137993912988652
1.2023149368600716e-05,3.281767324858631e-05,0.4137993912988652
1.2016405040837785e-05,-5.532545813674572e-05,0.4137993859049555
1.2023273545019864e-05,3.2817238631493995e-05,0.15266005836116747
1.2016342952780867e-05,-5.5325799621516736e-05,0.15266005306038993
1.2017413973774982e-05,-3.8281315937749305e-06,-0.2972484422149137
-1.367061243698342e-05,-3.830514227420867e-06,-0.2972484414077675
1.2020758973940726e-05,3.24539064119056e-05,-0.2972484432704125
1.2018003811370415e-05,-3.82800741743905e-06,-0.12891240910782167
-1.367109362027108e-05,3.244746476412097e-05,-0.12891241565812395
-6.0382997619234935e-06,3.312132321312e-05,0.08682487576734274
4.630900608870725e-06,3.312138530118386e-05,0.08682487573629867
-6.04808641009591e-06,-4.94149823981882e-05,0.0868248694265883
-6.038299761701449e-06,3.3121323212842446e-05,0.36461697190534326
4.621113961045253e-06,-4.941492031035333e-05,0.3646169655335446
-1.2449175119499944e-05,-5.5322074331329296e-05,-0.15533831205684692
-1.0315996284315787e-05,-5.532073943560756e-05,-0.1553383008033659
-1.2449175119499944e-05,-5.5322074331329296e-05,-0.15533831205684692
-1.2439163401739561e-05,-5.5313878692619944e-05,0.11977349400985973
-1.0327994823394748e-05,-5.53281279280643e-05,0.11977348325308397
1.2011531119571206e-05,2.8490189773078267e-05,0.3376126031003273
1.2011531119571206e-05,2.8490189773078267e-05,0.3376126031003273
1.2014596722897952e-05,2.5741592980854655e-05,0.33761260681785654
1.2018391862544942e-05,2.8501660562924025e-05,-0.28734411245677616
1.2017840829992021e-05,2.5747421508043322e-05,-0.2873441143815096
4.6246374647285204e-06,-5.532510889083575e-05,0.21744529517988362
1.20163429526976e-05,-5.5325799621586125e-05,0.21744529514107855
4.631265376975335e-06,3.0314953376714415e-05,0.21744530036424606
4.6251807362951425e-06,-5.532461218535345e-05,-0.22431456041522344
1.2017429495830845e-05,3.0302481415361848e-05,-0.2243145667094117
-1.366971991956234e-05,3.1551951542418966e-05,-0.24340501078404486
-6.0425450405521275e-06,3.1553131217776365e-05,-0.24340500974406798
-1.367097720503252e-05,-5.5325822904767064e-05,-0.24340500552207234
-1.3665296137416183e-05,3.15644312650909e-05,0.24894879907369605
-6.04434559739464e-06,-5.532513993491972e-05,0.24894879351680477
-1.0322942398555135e-05,2.1254341117826758e-05,0.4356773897539826
1.2023009670236728e-05,2.1258563113524254e-05,0.4356773913217089
-1.032179376719844e-05,1.3144834277334372e-05,0.4356773918805023
-1.0321685112982606e-05,2.1252199076024145e-05,-0.010386306699365393
1.201836857944727e-05,1.3136002235125677e-05,-0.010386314848437994
1.2017429495775334e-05,3.402171811717203e-05,-0.04158582306311784
-1.2448926766717161e-05,3.402507087839693e-05,-0.041585827766296865
1.2017631282335017e-05,3.3628668946544815e-05,-0.04158581764592481
1.2016870702291627e-05,3.402157841869702e-05,-0.3118908598631
-1.2453932625500208e-05,3.362625526881491e-05,-0.31189086377465486
1.2016342952725356e-05,-5.532579962175266e-05,0.39006439952645466
-2.063655604900294e-06,-5.531735563046869e-05,0.390064404384854
1.2018593648910336e-05,-3.829093960461272e-06,0.3900643989831831
1.2016637871647973e-05,-5.532557455212306e-05,-0.26033987545718745
-2.067893122681408e-06,-3.823971686328642e-06,-0.26033987571330114
-8.593228024808552e-06,2.574661436184622e-05,-0.10103015383550282
1.2021379855634007e-05,2.575307929272852e-05,-0.10103015170122186
-8.594733662853349e-06,3.3114384859714296e-05,-0.10103015892673288
-8.601516795686548e-06,2.573813932649216e-05,0.1852838735484206
1.2023025192403614e-05,3.3121579326500505e-05,0.18528387974947694
-1.3140775263154048e-05,-4.941516090199716e-05,0.15266004723962387
-1.1544084797199261e-05,-4.940695750214885e-05,0.152660051671167
-1.3142979393143683e-05,2.8490003508574446e-05,0.15266004755006474
-1.3141209880496163e-05,-4.9414850461226845e-05,0.4137993806119389
-1.15459163984033e-05,2.8497648114800267e-05,0.41379938541601113
1.2020758973940726e-05,3.24539064119056e-05,-0.27501620879241573
1.2020758973940726e-05,3.24539064119056e-05,-0.27501620879241573
1.2016637871592462e-05,-5.532557455206755e-05,-0.27501620793094234
1.2017639043376827e-05,3.244843489171728e-05,-0.07186183001225187
1.2017181143131328e-05,-5.53254270927242e-05,-0.07186182353179894
1.201836857944727e-05,1.3136002235014654e-05,-0.20318528697825966
1.201836857944727e-05,1.3136002235014654e-05,-0.20318528697825966
1.2017181143131328e-05,-5.5325427092745016e-05,-0.20318528029602012
1.2020991804695402e-05,1.3141722107895548e-05,-0.3046685658472901
1.2016637871647973e-05,-5.532557455212306e-05,-0.30466856503238277
-1.1546428625885952e-05,3.3624485755945344e-05,0.2796016135408233
-1.314311909189625e-05,3.361628235615255e-05,0.27960160910928017
-1.1558396120936454e-05,3.154861430329503e-05,0.2796016152172039
-1.1546739066579936e-05,3.36242684472951e-05,0.05401549775463832
