P3HT content (%),D1 content (%),D2 content (%),D6 content (%),D8 content (%)
-0.10108503828884015,-0.08388119369365525,-0.07432237169788489,-0.011668000810979129,-0.03801082991897905
0.06562596858878228,-0.08388119670590165,-0.07432237312674438,-0.011668000545579982,-0.038010830032622664
-0.1010850382217628,-0.06678980025282637,-0.07432237202163039,-0.011668000650353727,-0.03801082979300103
-0.10108503920353194,-0.08388119572260799,-0.04263201451699607,-0.011668002085311158,-0.0380108312168713
-0.10108503799392136,-0.08388119329895183,-0.07432237133644298,-0.01180589722547054,-0.0380108299012396
-0.10108503853026338,-0.0838811944381589,-0.07432237259899493,-0.011668002202696592,-0.03624304228315373
0.06562596750903016,-0.06678980250560151,-0.04263201395099588,-0.011805897828197048,-0.03624304344855429
0.11867629760554772,0.06902668222153024,-0.03070769576893546,-0.005287388093780682,0.01110172131254032
-0.10130587600080097,0.06902668874702485,-0.030707699208038116,-0.005287377567895268,0.011101734089814765
0.11867630195116541,-0.0296880266029067,-0.0307077012680349,-0.00528738867363987,0.011101722588396817
0.11867629624251841,0.06902668441748354,-0.06999736779779643,-0.005287394365656201,0.011101715676791404
0.11867629729843308,0.06902668195876424,-0.030707695717102954,-0.00628522884577426,0.011101721224397239
0.11867629659994115,0.06902668109257877,-0.030707702573826826,-0.005287389364786501,4.0837987381525664e-05
-0.10130587130801623,-0.029688026577960498,-0.06999736946142678,-0.006285222575007487,4.084760439582169e-05
0.11951230527289831,-0.07789796187079491,-0.04503393299874874,-0.10351164430751295,0.006832407372504817
-0.10129374414620028,-0.07789796178154319,-0.04503394083370776,-0.10351164750110392,0.006832405509374584
0.11951231467981067,-0.07571907645310387,-0.045033939000235786,-0.10351164993203602,0.006832401765998308
0.11951230562969742,-0.0778979628669775,0.009565800343920154,-0.1035116474050613,0.006832409927335997
0.11951230682260792,-0.07789796204098305,-0.04503393348977188,0.007212611831796699,0.006832405787316159
0.11951230803166431,-0.07789796111880742,-0.04503393193909211,-0.10351164615269577,-0.0242228371759189
-0.10129374652017202,-0.07571908821576348,0.009565791056679951,0.007212606578555325,-0.02422284318156361
-0.10028028911578342,0.10016190982326717,-0.06877807143845575,-0.00927681111761125,-0.03768713382541184
0.10521053493000752,0.1001619076681978,-0.06877806063192637,-0.009276797383375168,-0.037687122894151666
-0.10028028893617118,0.1081146001883706,-0.0687780722040251,-0.00927681115142713,-0.03768713344623055
-0.10028029703147101,0.10016190205725647,0.10233194737964027,-0.009276809485856546,-0.03768713440693403
-0.10028028801565866,0.10016191106059574,-0.06877807063075518,-0.010771519978325567,-0.03768713378688391
-0.10028028499800717,0.10016191283786964,-0.06877806906690938,-0.009276809743910444,-0.020795844024784568
0.10521053647001587,0.1081145985767112,0.10233196783866294,-0.010771518907165989,-0.020795832977109213
-0.10130693081979797,-0.07512533636223195,0.024085637033706406,-0.002434670135179326,0.03030326506788177
0.11971069904421236,-0.07512532548716996,0.024085627581821686,-0.002434676698508831,0.030303269252181034
-0.10130693028872238,-0.0773724023273514,0.024085637386001335,-0.002434670248545656,0.030303264957287204
-0.10130693286454992,-0.07512533469451316,-0.07357109080843484,-0.0024346665708608883,0.030303270336160138
-0.10130693087939154,-0.07512533610861284,0.024085638713413203,-0.01205213753634049,0.030303267841061014
-0.10130692483660478,-0.0751253313353075,0.024085639884773084,-0.002434666883588482,0.04185903885629069
0.11971069717921123,-0.07737239066530799,-0.07357107824507352,-0.01205212851692481,0.04185904484585903
0.0485637178521194,-0.013013092466142233,0.10657581725653946,-0.011356208057536399,-0.03238969183391123
-0.09454648651714836,-0.013013091965556367,0.10657582474689536,-0.011356203149106098,-0.03238968622560306
0.048563718246822686,-0.007058647153012118,0.10657581636790256,-0.011356208630188954,-0.032389691672038416
0.048563719086121754,-0.013013093642907122,-0.03339767333957196,-0.01135620846720739,-0.03238969231564887
0.04856371444891145,-0.013013098214287314,0.10657581533346923,-0.007781372697319905,-0.03238969774697804
0.04856371761374507,-0.013013091512645339,0.10657581683522692,-0.011356208671488581,-0.005880972784749888
-0.0945464862015797,-0.007058647613684151,-0.03339767089485018,-0.007781367673444369,-0.0058809657459191755
0.11490562188070426,-0.0854188395668254,-0.04584503037178713,-0.011933583560416343,0.0052079728858578506
-0.10130849668598141,-0.08541884651612709,-0.045845033909011235,-0.011933584540661091,0.005207967630121851
0.11490562188070429,-0.08545424472582197,-0.04584503037178711,-0.011933583560416381,0.005207972885857826
0.1149056241323706,-0.08541884832818704,-0.03431103168404666,-0.011933588358113516,0.0052079611067061375
0.114905622976117,-0.08541884185161472,-0.04584503416581788,-0.011518604600375213,0.005207966446150309
0.1149056174093858,-0.08541884459666023,-0.0458450359857775,-0.011933589646997433,0.021455743416195872
-0.1013084998581603,-0.08545425522218773,-0.034311037235810166,-0.011518606254581513,0.02145574401088418
-0.10126052189152696,0.03941518394040904,0.0633093731044071,-0.007101393463727575,0.03972111904475324
-0.01265186869810953,0.039415180393483594,0.0633093749569352,-0.00710139199855761,0.03972111843384993
-0.10126052166867482,0.04664367738531879,0.0633093733328029,-0.007101393490336755,0.03972111886569545
-0.10126052212657505,0.03941518373307891,0.07518512257915323,-0.007101393601762908,0.03972111878475904
-0.10126052462174341,0.039415183017401836,0.0633093721564538,-0.004039648121605399,0.039721119894307905
-0.10126052115589307,0.03941518369205638,0.06330937291980566,-0.007101393459847005,-0.03669245309637133
-0.012651871375939193,0.04664367228480327,0.07518512274559948,-0.004039645966536026,-0.03669245251956117
-0.08135438019692497,-0.053134826977648604,0.025164962372288047,-0.010535570387201874,-0.010872624809382548
0.11901447267681817,-0.053134832473283364,0.025164966196808535,-0.010535570995472004,-0.010872623980477746
-0.08135438019997399,-0.04890736756732667,0.02516496247941785,-0.010535570460238619,-0.01087262482005396
-0.08135437812348492,-0.0531348238467694,-0.07384154220261346,-0.010535567076156105,-0.010872625119684792
