,Acc. Surface Area [m^2/g],Void Fraction,PLD,LCD,Density,Channel Volume,H_ads [kJ/mol]
2634,4814.94,0.860151,14.56831,18.24521,0.368591,5592.01,-2324.5224609375
2635,868.851,0.486327,17.24774,17.70265,1.08339,871.388,-2520.919189453125
2636,4579.08,0.822078,8.57567,12.7548,0.472911,3205.19,-2456.843017578125
2637,623.27,0.228691,4.01228,5.13923,1.24432,29.9249,-3139.2744140625
2638,3294.45,0.804889,14.40674,14.59212,0.500633,875.781,-2854.771484375
2639,2046.65,0.710725,7.51042,7.91291,0.839287,246.213,-3966.467529296875
2640,2874.75,0.776988,11.85236,12.10943,0.572825,732.213,-3033.497802734375
2641,160.161,0.147465,3.34102,3.67907,1.8695,2.36519,-3577.44970703125
2642,4857.47,0.786148,7.8346,10.60725,0.502141,1565.6,-2677.275634765625
2643,2663.16,0.528972,5.45694,7.02493,0.786859,360.083,-2951.35498046875
2644,2178.77,0.631844,3.63474,9.40377,0.88427,769.0,-3114.3291015625
2645,3662.74,0.71561,6.10487,10.15836,0.661659,1480.45,-2639.804931640625
2646,5281.37,0.82638,9.43877,11.01767,0.397473,2639.27,-2467.853515625
2647,425.854,0.327509,3.71449,5.07688,1.98234,65.4459,-3849.078125
2648,3352.35,0.693768,8.20287,10.41167,0.662565,1446.52,-2832.275634765625
2649,990.162,0.348465,4.9034,5.88243,1.15351,122.878,-3405.12548828125
2650,1182.66,0.369192,5.46102,6.09166,0.982356,343.515,-3157.56884765625
2651,1603.78,0.504194,4.93504,5.87921,0.969192,107.92,-3478.64404296875
2652,685.455,0.328554,6.21795,7.22039,1.15171,103.683,-3248.22119140625
2653,4588.11,0.819852,10.10777,14.72853,0.437926,2728.86,-2442.065185546875
2654,3689.76,0.736246,8.83932,10.8598,0.526899,1705.0,-2711.724365234375
2655,264.059,0.167374,3.54545,4.28058,1.23106,11.3827,-2964.387939453125
2656,1114.3,0.453173,3.71913,5.61476,1.33336,26.7519,-3158.101806640625
2657,3736.94,0.773386,7.47321,9.79633,0.678273,864.605,-2713.810791015625
2658,676.819,0.471036,3.45023,6.9031,1.38619,116.247,-3107.017333984375
2659,4096.78,0.825036,9.74391,13.41209,0.470346,1792.2,-2553.77001953125
2660,348.887,0.186505,3.79673,4.50334,1.67306,6.6262,-3114.203857421875
2661,1481.38,0.59288,6.38085,7.61929,1.03585,130.132,-3707.544189453125
2662,2314.91,0.700342,8.43249,8.89985,0.882029,987.656,-3036.34814453125
2663,3119.17,0.61911,4.77845,6.13167,0.807789,348.155,-3182.890869140625
2664,1812.2,0.580529,7.39748,7.74717,0.849293,233.157,-3549.626220703125
2665,2118.22,0.584796,6.15281,7.1672,0.902641,908.549,-3166.6357421875
2666,4655.95,0.783739,10.12427,11.89356,0.468817,3058.79,-2439.437744140625
2667,944.612,0.496732,5.54401,6.97765,1.36969,87.1025,-3603.6044921875
2668,1721.54,0.605384,4.58327,14.1532,1.00347,1082.31,-3022.0224609375
2669,3357.62,0.685286,8.84945,11.17583,0.618289,1003.31,-2642.739990234375
2670,2949.73,0.807408,12.24453,14.81867,0.637018,3322.88,-2519.005615234375
2671,2104.84,0.606184,7.14426,8.3393,0.835725,374.37,-3233.80029296875
2672,3770.01,0.817571,8.45792,16.25436,0.552029,5351.05,-2607.85791015625
2673,536.339,0.241862,4.40015,5.42324,1.27897,52.9856,-3388.684326171875
2674,933.981,0.397848,4.71932,5.82043,1.25744,74.997,-3466.037841796875
2675,3723.65,0.813877,8.57109,10.1793,0.603389,2078.51,-2634.333740234375
2676,1215.6,0.468435,5.58922,6.41865,1.05437,156.723,-3675.740234375
2677,2067.79,0.657423,7.2888,8.52024,1.09304,386.641,-2949.91552734375
2678,947.636,0.572474,6.57804,6.99375,1.60121,212.301,-3686.7490234375
2679,1754.82,0.573381,13.09386,13.399,0.746514,455.461,-2827.62353515625
2680,1293.82,0.467207,9.45025,9.64614,1.00358,229.175,-3052.283447265625
2681,914.711,0.397636,4.59372,5.625,1.13878,34.4978,-3360.562744140625
2682,3245.86,0.695816,7.72655,9.8039,0.657606,488.667,-2792.64599609375
2683,229.994,0.155225,3.77352,4.38155,2.51508,11.7926,-3050.15380859375
2684,1026.17,0.409063,5.63927,6.36354,1.14587,107.845,-3714.041015625
2685,5696.79,0.911796,14.19728,23.33902,0.237281,10542.8,-1991.5792236328125
2686,230.951,0.140388,3.6444,4.38487,1.67291,8.89601,-3281.94091796875
2687,748.033,0.334596,5.73927,7.04105,1.54138,96.8811,-3230.38330078125
2688,2369.24,0.59324,5.64844,6.95538,0.951134,252.395,-2925.900146484375
2689,2162.42,0.70924,10.54736,10.78017,0.780412,463.29,-3114.191650390625
2690,603.685,0.280874,6.35259,7.01308,1.38462,74.6576,-3265.823974609375
2691,4377.77,0.759125,10.25896,11.61651,0.496368,1224.62,-2616.67236328125
2692,523.565,0.231956,3.97581,4.78782,1.68883,35.1227,-3259.80078125
2693,153.175,0.0904317,3.85034,4.16512,1.59593,4.9595,-3124.215576171875
2694,440.072,0.293749,3.48497,4.41226,1.64125,24.389,-4314.32763671875
2695,489.896,0.372995,4.20077,5.33578,1.2902,42.2748,-3853.5869140625
2696,2249.11,0.694516,6.51245,7.07554,0.832759,215.103,-3538.73388671875
2697,3720.08,0.736108,7.45807,10.12606,0.652339,686.557,-2725.625
2698,4126.13,0.800135,7.99949,12.23515,0.536418,1997.1,-2571.36181640625
2699,4155.96,0.770009,11.54158,13.20906,0.482466,1563.84,-2559.12939453125
2700,4533.75,0.827148,12.06692,18.53947,0.446727,5470.43,-2343.905029296875
2701,415.409,0.227745,3.9539,4.64439,1.3715,13.9999,-3794.67919921875
2702,3654.76,0.732865,8.80078,12.8777,0.565342,1473.06,-2549.821533203125
2703,1076.11,0.379403,3.41885,4.52004,1.0004,75.0371,-3336.068359375
2704,1107.31,0.384252,6.09396,6.56346,1.09093,128.482,-3444.666015625
2705,2745.67,0.636689,5.03373,5.92236,0.817873,488.077,-3225.19287109375
2706,2184.49,0.566442,4.98584,7.42388,0.829447,245.625,-3397.760498046875
2707,282.209,0.182679,3.47749,5.44797,1.55346,19.55,-2945.1494140625
2708,3214.05,0.650211,5.3579,8.72376,0.805222,753.716,-2834.181884765625
2709,1197.94,0.548126,5.18371,9.35436,1.57509,1195.9,-2781.445068359375
2710,2418.49,0.660837,5.99331,7.64308,0.787949,257.285,-3313.016357421875
2711,1082.95,0.406976,8.78103,9.45998,1.07345,163.642,-3004.742431640625
2712,3216.79,0.730078,8.31601,11.87529,0.642528,1809.49,-2782.06982421875
2713,832.426,0.268591,5.06412,6.1319,1.04763,86.1334,-2836.682861328125
2714,985.56,0.371614,5.95961,6.95759,1.13178,337.711,-3298.636962890625
2715,550.594,0.286821,4.41246,4.79298,1.44819,24.1805,-3190.949951171875
2716,1026.62,0.41614,3.60623,4.57362,1.31572,20.3143,-3357.8486328125
2717,1986.53,0.585667,8.1322,9.46522,0.823575,544.36,-3160.34130859375
