,Acc. Surface Area [m^2/g],Void Fraction,PLD,LCD,Density,Channel Volume,CO2 Uptake [g/g]
4528,2043.73,0.500083,5.13171,7.44948,0.828487,313.329,380.1092224121094
4529,1930.02,0.553468,5.7366,7.75299,0.902187,280.852,421.3460998535156
4530,1316.57,0.498154,5.43608,6.39985,1.06259,145.613,300.7666931152344
4531,232.886,0.161037,3.7548,4.52265,1.82617,8.41092,67.09503173828125
4532,4311.51,0.780011,7.43038,13.1663,0.522971,2803.18,1044.0069580078125
4533,6100.69,0.884318,10.87416,15.07499,0.283661,3544.81,2084.33740234375
4534,4310.71,0.788878,7.76158,14.45764,0.505155,2937.27,1070.2593994140625
4535,1629.81,0.582767,4.13696,5.59892,1.04396,65.1795,359.0235900878906
4536,3314.81,0.778298,6.8275,16.17931,0.647005,4696.29,878.3593139648438
4537,822.832,0.457762,3.34153,7.15327,1.47665,137.142,204.14505004882812
4538,3835.6,0.657503,5.48932,7.591,0.651257,475.512,646.7013549804688
4539,3947.71,0.714924,6.36965,8.24529,0.622801,708.323,804.8749389648438
4540,1167.53,0.617966,20.34276,20.44238,1.02201,1150.3,369.1590270996094
4541,2045.4,0.692123,7.15088,7.80058,0.848179,226.365,587.7962036132812
4542,4383.74,0.808408,9.85317,13.43581,0.451274,1512.06,1238.2138671875
4543,4951.31,0.877522,15.2363,20.46288,0.333782,6487.13,1682.029296875
4544,2249.87,0.601123,4.60036,6.84498,0.948835,624.701,450.9126281738281
4545,4439.79,0.736521,7.76909,11.09413,0.568847,1195.41,914.4579467773438
4546,1050.71,0.451179,3.59308,6.11165,1.29206,146.916,213.90615844726562
4547,1077.76,0.512732,8.56928,10.3723,1.34928,269.964,256.27423095703125
4548,2728.48,0.723254,7.96294,8.47215,0.759196,476.988,698.8150024414062
4549,1270.8,0.431702,7.87117,8.20201,1.06974,179.708,299.8386535644531
4550,2111.29,0.708673,4.62045,10.228,0.904863,779.207,549.6416015625
4551,3380.66,0.779628,6.84324,16.17208,0.637929,4744.43,890.4796752929688
4552,306.545,0.199331,3.72564,4.4508,2.13028,10.2688,72.06543731689453
4553,903.783,0.425346,6.35193,6.64978,1.52896,105.201,156.82061767578125
4554,2390.94,0.565185,5.09845,5.54977,0.822084,161.439,427.7042236328125
4555,1437.81,0.411696,3.85504,6.33401,1.17526,70.1447,216.50022888183594
4556,308.299,0.189596,3.48721,4.20261,1.43742,13.1104,91.39331817626953
4557,4677.7,0.815127,10.56006,13.33996,0.419249,3589.05,1308.6925048828125
4558,164.743,0.141423,4.83385,5.56101,2.24976,50.9639,39.52924346923828
4559,4130.98,0.72498,7.199,8.39059,0.625527,720.95,769.061279296875
4560,1402.6,0.45242,3.93356,6.16537,1.00027,321.606,284.651123046875
4561,1881.84,0.561297,5.40123,7.43904,0.917375,169.475,411.2194519042969
4562,477.385,0.269207,5.62353,6.11723,1.66147,133.247,127.67012023925781
4563,4861.54,0.792488,9.27344,12.07815,0.4237,1482.09,1264.1500244140625
4564,870.194,0.430649,4.17496,5.6703,1.00517,72.9639,274.63623046875
4565,2282.33,0.666205,9.48104,9.82819,0.758719,1174.49,660.0370483398438
4566,1020.34,0.376293,4.37223,5.60899,1.13681,76.8956,184.95989990234375
4567,2550.6,0.58694,7.42677,8.31192,0.759209,372.614,527.665771484375
4568,3592.57,0.779229,8.89528,9.66804,0.680686,885.712,914.8677368164062
4569,3459.78,0.74439,6.82523,12.48808,0.644485,1595.15,815.1140747070312
4570,1710.84,0.553702,7.60526,8.03483,0.883905,204.091,448.67999267578125
4571,2158.69,0.528591,4.99508,7.21706,0.960333,440.624,389.2062072753906
4572,160.368,0.115365,3.93054,5.00175,2.03099,22.4679,42.23851013183594
4573,4317.88,0.755037,7.8314,9.96491,0.549802,1386.92,973.1546020507812
4574,2997.43,0.664668,6.36006,7.31642,0.775085,615.106,622.2288208007812
4575,4149.02,0.850999,13.04064,20.21579,0.439799,5840.4,1290.7745361328125
4576,3837.59,0.75319,9.3202,11.46274,0.573453,2623.94,913.0214233398438
4577,1734.99,0.51635,4.80732,7.00978,1.10924,273.556,341.86419677734375
4578,358.683,0.199435,3.61419,4.70488,1.45238,13.8659,87.21043395996094
4579,2174.88,0.557343,5.98462,7.37131,0.843305,188.415,439.8243713378906
4580,686.098,0.296159,3.77491,4.86489,1.30337,26.4021,155.6113739013672
4581,1234.34,0.497339,4.47214,6.34369,1.04934,58.1289,308.73077392578125
4582,4913.47,0.912331,15.78613,21.52779,0.261089,11909.4,1977.3651123046875
4583,787.799,0.31273,4.44935,5.14924,1.28637,51.7833,156.00404357910156
4584,3125.23,0.681814,6.25196,11.96866,0.738324,1140.28,668.1380615234375
4585,5512.76,0.847416,9.92934,12.45532,0.362386,5917.5,1600.2298583984375
4586,2701.34,0.769652,30.58143,30.91872,0.374851,3672.3,1027.8865966796875
4587,4034.96,0.851205,9.36212,17.44721,0.497277,3362.42,1235.64453125
4588,452.193,0.26129,3.62398,4.07893,1.18859,3.6007,151.16087341308594
4589,3344.03,0.77917,7.28164,15.21995,0.633402,4158.53,853.7767944335938
4590,3524.35,0.691507,11.4957,14.10939,0.530176,1445.9,877.042236328125
4591,1515.76,0.539596,6.19086,8.96299,1.12783,1408.55,315.03472900390625
4592,450.907,0.221655,4.50557,4.68736,1.39622,18.7886,93.1717529296875
4593,3449.79,0.754896,6.83557,8.7374,0.716518,811.54,762.6103515625
4594,963.433,0.393285,3.40989,5.39113,1.05792,45.8186,227.73382568359375
4595,2011.79,0.619661,5.90173,6.87727,0.96848,159.044,446.0979309082031
4596,1048.12,0.319421,4.01031,5.06911,1.17999,85.2125,183.37472534179688
4597,4745.68,0.836348,11.851,15.43645,0.361145,2879.85,1575.0980224609375
4598,1004.91,0.350681,3.77123,5.45964,1.15454,39.2528,190.5961456298828
4599,3448.51,0.770232,9.00871,13.39381,0.579967,2078.03,942.3758544921875
4600,3923.38,0.725255,6.33999,13.40011,0.639762,1630.35,816.1057739257812
4601,650.727,0.3302,3.75928,4.61439,1.13579,30.4199,188.98651123046875
4602,662.686,0.330027,4.22247,5.43302,1.21302,164.907,175.3375701904297
4603,2466.92,0.704392,9.34081,9.78735,0.70663,406.165,703.7789916992188
4604,1529.12,0.467984,5.50907,6.02782,0.941246,68.286,335.34039306640625
4605,3177.38,0.834498,24.37253,25.24097,0.375162,3451.47,1363.471435546875
4606,631.098,0.295675,8.52821,9.31016,1.42067,150.816,156.05816650390625
4607,1264.79,0.433382,8.1508,8.57188,0.99692,138.746,276.24261474609375
4608,2743.18,0.593585,3.812,5.57821,0.786129,286.642,518.651123046875
4609,1974.14,0.709929,20.9045,21.22467,0.609027,1345.05,761.7831420898438
4610,2167.9,0.699535,9.26813,9.63601,0.785483,382.446,633.2384643554688
4611,2415.45,0.605746,5.5286,7.65576,0.876424,340.481,468.12652587890625
4612,338.517,0.175855,3.93393,4.8331,1.50103,12.6988,91.41394805908203
4613,1845.66,0.520083,3.59525,11.88296,0.813208,538.333,412.9049987792969
4614,1647.44,0.59558,7.14929,7.31392,1.00023,238.75,420.7798767089844
4615,4255.64,0.765314,9.32796,11.62814,0.489316,1762.58,1079.9586181640625
4616,1640.32,0.527909,6.12334,7.57024,1.05781,224.317,369.2216491699219
4617,584.911,0.26944,4.15297,6.18217,1.34744,105.281,137.68582153320312
4618,5250.53,0.834397,9.48995,13.90738,0.406288,3398.32,1404.3067626953125
4619,3874.17,0.789639,8.33904,10.52898,0.54523,1606.29,1040.6170654296875
4620,3734.63,0.810101,8.31245,14.82454,0.549732,2858.24,1030.087646484375
4621,460.711,0.295128,4.94122,7.21128,1.83081,124.987,133.11744689941406
4622,374.131,0.220289,4.01494,4.94053,1.43043,68.7277,113.09884643554688
4623,2459.62,0.74937,11.62196,12.07554,0.659943,584.197,828.2308959960938
4624,3803.41,0.734214,5.91308,13.41195,0.605236,1965.77,845.583251953125
4625,488.582,0.231521,3.96778,5.48662,1.23196,75.4303,97.52072143554688
4626,3446.36,0.670514,4.90488,6.89962,0.713412,643.784,693.1338500976562
4627,1771.2,0.576303,14.05786,14.4122,0.713467,662.449,559.223876953125
4628,4270.86,0.779062,8.64812,12.81077,0.484475,1310.41,1097.06982421875
4629,4875.8,0.893657,13.04936,24.77327,0.312539,10449.7,1788.0623779296875
4630,1150.28,0.40875,3.71241,5.61879,1.06808,147.35,234.3757781982422
