k,stage,i,step,flag,x,minimum_selling_price,CO2_emission,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
0,line_search,9,2,success,"[ 87.5    75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5601237783182312,-0.005640653783451311,87.5,75.0,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485
0,line_search,9,3,success,"[ 93.75   75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5604616515199952,-0.005630754739536269,93.75,75.0,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485
0,line_search,9,4,success,"[100.     75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5607855505872492,-0.005621351605991122,100.0,75.0,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485
0,line_search,10,0,success,"[ 75.     75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5594024278755323,-0.005662249911695293,75.0,75.0,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485
0,line_search,10,1,success,"[ 75.     68.75  210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5573957762270443,-0.004942472364226182,75.0,68.75,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485
0,line_search,10,2,success,"[ 75.     62.5   210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5536773379716551,-0.002774885095533637,75.0,62.5,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485
0,line_search,10,3,success,"[ 75.     56.25  210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5523144822508677,-0.0019413187838824765,75.0,56.25,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485
0,line_search,10,4,not_converged,"[ 75.     50.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",,,75.0,50.0,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485
0,line_search,11,0,success,"[ 75.     75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5594024278755323,-0.005662249911695293,75.0,75.0,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485
0,line_search,11,1,success,"[ 75.     70.139 210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5578251144672234,-0.005108053485868526,75.0,70.139,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485
0,line_search,11,2,success,"[ 75.     65.278 210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5556211507359757,-0.003940901746875781,75.0,65.27799999999999,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485
0,line_search,11,3,success,"[ 75.     60.417 210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5533616037290845,-0.0027106906751215836,75.0,60.417,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485
0,line_search,11,4,success,"[ 75.     55.556 210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5508723188899721,-0.0008790463652868859,75.0,55.556,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485
