Pd_C103,Pd_C301,HX100,T_E110,L_R100,D_R100,F_S220,T_E120,P_V100,Pd_P150,HX150,HX220,T_E220,Rr_D200,Pc_D200,F_S220,CO2_emission
75,78.47225,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005637941
75,81.9445,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005614362
75,85.41675,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005591459
75,88.889,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005569186
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,79.861,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005628426
75,84.722,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00559599
75,89.583,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005564807
75,94.444,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005534762
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,81.25,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005619022
75,87.5,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005578023
75,93.75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005538986
75,100,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005501691
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75,183.75,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.07077591
75,75,157.5,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.14689107
75,75,131.25,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.222684286
75,75,105,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.298164003
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75,189.58325,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.053817762
75,75,169.1665,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.113102517
75,75,148.74975,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.172191768
75,75,128.333,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.231087091
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75,195.41675,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.036842941
75,75,180.8335,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.079248638
75,75,166.25025,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.121554564
75,75,151.667,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.163760728
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75,201.25,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.019852927
75,75,192.5,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.045332344
75,75,183.75,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.070775918
75,75,175,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.096183571
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75,207.08325,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.00284702
75,75,204.1665,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.011352323
75,75,201.24975,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.019853659
75,75,198.333,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,0.028351018
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75,212.91675,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005662249
75,75,215.8335,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005662249
75,75,218.75025,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005662248
75,75,221.667,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005662248
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75,218.75,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005662249
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75,210,207.5,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005514377
75,75,210,205,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005403851
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75,210,208.889,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005589237
75,75,210,207.778,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005532948
75,75,210,206.667,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005470401
75,75,210,205.556,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005416864
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75,210,210.27775,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.004869506
75,75,210,210.5555,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.004065708
75,75,210,210.83325,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00326769
75,75,210,211.111,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00246844
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
