Pd_C103,Pd_C301,HX100,T_E110,L_R100,D_R100,F_S220,T_E120,P_V100,Pd_P150,HX150,HX220,T_E220,Rr_D200,Pc_D200,F_S220.1,Y
0.755859375,0.423828125,0.927734375,0.044921875,0.029296875,0.857421875,0.115234375,0.607421875,0.537109375,0.658203125,0.705078125,0.248046875,0.486328125,0.072265625,0.263671875,0.376953125,0.76620007
0.755859375,0.248046875,0.611328125,0.044921875,0.029296875,0.857421875,0.115234375,0.607421875,0.537109375,0.658203125,0.705078125,0.248046875,0.486328125,0.072265625,0.263671875,0.376953125,0.7737762
0.755859375,0.248046875,0.927734375,0.126953125,0.029296875,0.857421875,0.115234375,0.607421875,0.537109375,0.658203125,0.705078125,0.248046875,0.486328125,0.072265625,0.263671875,0.376953125,0.7455461
0.755859375,0.248046875,0.927734375,0.044921875,0.720703125,0.857421875,0.115234375,0.607421875,0.537109375,0.658203125,0.705078125,0.248046875,0.486328125,0.072265625,0.263671875,0.376953125,0.7530328
0.755859375,0.248046875,0.927734375,0.044921875,0.029296875,0.474609375,0.115234375,0.607421875,0.537109375,0.658203125,0.705078125,0.248046875,0.486328125,0.072265625,0.263671875,0.376953125,0.74461544
0.755859375,0.248046875,0.927734375,0.044921875,0.029296875,0.857421875,0.423828125,0.607421875,0.537109375,0.658203125,0.705078125,0.248046875,0.486328125,0.072265625,0.263671875,0.376953125,0.72327864
0.755859375,0.248046875,0.927734375,0.044921875,0.029296875,0.857421875,0.115234375,0.673828125,0.537109375,0.658203125,0.705078125,0.248046875,0.486328125,0.072265625,0.263671875,0.376953125,0.7446039
0.755859375,0.248046875,0.927734375,0.044921875,0.029296875,0.857421875,0.115234375,0.607421875,0.353515625,0.658203125,0.705078125,0.248046875,0.486328125,0.072265625,0.263671875,0.376953125,0.7600424
0.755859375,0.248046875,0.927734375,0.044921875,0.029296875,0.857421875,0.115234375,0.607421875,0.537109375,0.091796875,0.705078125,0.248046875,0.486328125,0.072265625,0.263671875,0.376953125,-0.020013917
0.755859375,0.248046875,0.927734375,0.044921875,0.029296875,0.857421875,0.115234375,0.607421875,0.537109375,0.658203125,0.728515625,0.248046875,0.486328125,0.072265625,0.263671875,0.376953125,0.7246133
0.755859375,0.248046875,0.927734375,0.044921875,0.029296875,0.857421875,0.115234375,0.607421875,0.537109375,0.658203125,0.705078125,0.263671875,0.486328125,0.072265625,0.263671875,0.376953125,0.7451782
0.755859375,0.248046875,0.927734375,0.044921875,0.029296875,0.857421875,0.115234375,0.607421875,0.537109375,0.658203125,0.705078125,0.248046875,0.505859375,0.072265625,0.263671875,0.376953125,0.74448633
0.755859375,0.248046875,0.927734375,0.044921875,0.029296875,0.857421875,0.115234375,0.607421875,0.537109375,0.658203125,0.705078125,0.248046875,0.486328125,0.158203125,0.263671875,0.376953125,0.75664264
0.755859375,0.248046875,0.927734375,0.044921875,0.029296875,0.857421875,0.115234375,0.607421875,0.537109375,0.658203125,0.705078125,0.248046875,0.486328125,0.072265625,0.146484375,0.376953125,0.7473695
0.755859375,0.248046875,0.927734375,0.044921875,0.029296875,0.857421875,0.115234375,0.607421875,0.537109375,0.658203125,0.705078125,0.248046875,0.486328125,0.072265625,0.263671875,0.365234375,0.74461544
0.158203125,0.423828125,0.611328125,0.126953125,0.720703125,0.474609375,0.423828125,0.673828125,0.353515625,0.091796875,0.728515625,0.263671875,0.505859375,0.158203125,0.146484375,0.365234375,0.029370766
0.255859375,0.748046875,0.427734375,0.544921875,0.529296875,0.357421875,0.615234375,0.107421875,0.037109375,0.158203125,0.205078125,0.748046875,0.986328125,0.572265625,0.763671875,0.876953125,0.85767287
0.658203125,0.748046875,0.427734375,0.544921875,0.529296875,0.357421875,0.615234375,0.107421875,0.037109375,0.158203125,0.205078125,0.748046875,0.986328125,0.572265625,0.763671875,0.876953125,0.85767287
0.255859375,0.923828125,0.427734375,0.544921875,0.529296875,0.357421875,0.615234375,0.107421875,0.037109375,0.158203125,0.205078125,0.748046875,0.986328125,0.572265625,0.763671875,0.876953125,0.89841026
0.255859375,0.748046875,0.111328125,0.544921875,0.529296875,0.357421875,0.615234375,0.107421875,0.037109375,0.158203125,0.205078125,0.748046875,0.986328125,0.572265625,0.763671875,0.876953125,0.87272
0.255859375,0.748046875,0.427734375,0.626953125,0.529296875,0.357421875,0.615234375,0.107421875,0.037109375,0.158203125,0.205078125,0.748046875,0.986328125,0.572265625,0.763671875,0.876953125,0.8762336
0.255859375,0.748046875,0.427734375,0.544921875,0.220703125,0.357421875,0.615234375,0.107421875,0.037109375,0.158203125,0.205078125,0.748046875,0.986328125,0.572265625,0.763671875,0.876953125,0.8539556
0.255859375,0.748046875,0.427734375,0.544921875,0.529296875,0.974609375,0.615234375,0.107421875,0.037109375,0.158203125,0.205078125,0.748046875,0.986328125,0.572265625,0.763671875,0.876953125,0.85767287
0.255859375,0.748046875,0.427734375,0.544921875,0.529296875,0.357421875,0.923828125,0.107421875,0.037109375,0.158203125,0.205078125,0.748046875,0.986328125,0.572265625,0.763671875,0.876953125,0.8003047
